kyc_id,customer_id,aadhaar_number,kyc_status
1,470,8.02503E+11,Pending
2,527,36860203929,Completed
3,909,3.43088E+11,Completed
4,707,3.9063E+11,Completed
5,537,8.60468E+11,Pending
6,656,6.44215E+11,Completed
7,810,5.31046E+11,Under Review
8,437,3.46168E+11,Under Review
9,122,2.60418E+11,Pending
10,307,9.48178E+11,Pending
11,149,9.32911E+11,Completed
12,258,3.31592E+11,Under Review
13,658,7.08212E+11,Pending
14,174,5.09216E+11,Pending
15,965,2.07249E+11,Pending
16,451,24823625766,Under Review
17,216,8.36129E+11,Pending
18,155,5.29058E+11,Pending
19,345,3.7167E+11,Completed
20,727,8.10484E+11,Completed
21,748,7.76701E+11,Completed
22,967,5.69984E+11,Pending
23,653,3.83879E+11,Under Review
24,412,5.42336E+11,Completed
25,287,3.98817E+11,Pending
26,277,2.90709E+11,Completed
27,405,2.04725E+11,Pending
28,238,9.28251E+11,Under Review
29,969,2.1995E+11,Under Review
30,510,6.64547E+11,Under Review
31,597,45393796363,Under Review
32,580,3.65448E+11,Pending
33,36,3.42887E+11,Under Review
34,668,8.35323E+11,Pending
35,500,9.86572E+11,Under Review
36,643,3.00357E+11,Completed
37,450,8.64676E+11,Pending
38,516,33159834881,Pending
39,377,7.60092E+11,Pending
40,543,7.26876E+11,Pending
41,873,4.6633E+11,Pending
42,721,8.56489E+11,Under Review
43,199,5.54339E+11,Pending
44,964,4.04773E+11,Completed
45,576,62420677400,Completed
46,518,4.73904E+11,Pending
47,490,40239568682,Completed
48,309,3.81759E+11,Completed
49,889,2.1493E+11,Under Review
50,667,6.8801E+11,Under Review
51,331,8.37664E+11,Completed
52,175,2.04347E+11,Under Review
53,284,7.13715E+11,Completed
54,645,3.77638E+11,Under Review
55,371,6.09593E+11,Completed
56,982,1.82849E+11,Completed
57,797,7.60321E+11,Pending
58,718,2.67975E+11,Completed
59,370,5.83427E+11,Completed
60,366,9.104E+11,Under Review
61,586,1.28814E+11,Pending
62,27,3.0051E+11,Pending
